Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Serious
China,79828,577,2870,35,34844,42114,7365
S. Korea,3736,586,21,4,3685,30,10
Italy,1128,0,29,0,1049,50,105
Iran,978,385,54,11,749,175,0
Japan,957,11,12,1,903,42,55
Germany,117,38,0,0,101,16,2
Singapore,106,4,0,0,32,74,7
France,104,4,2,0,90,12,8
Hong Kong,95,0,2,0,63,30,6
Spain,73,15,0,0,71,2,2
USA,69,1,1,0,61,7,1
Kuwait,46,1,0,0,46,0,0
Thailand,42,0,1,1,11,30,2
Bahrain,41,0,0,0,41,0,0
Taiwan,40,1,1,0,27,12,1
U.K.,35,12,0,0,27,8,0
Malaysia,29,4,0,0,7,22,0
Australia,25,0,1,1,9,15,0
U.A.E.,21,0,0,0,16,5,2
Canada,20,0,0,0,16,4,0
Switzerland,19,0,0,0,18,1,0
Norway,17,2,0,0,17,0,0
Vietnam,16,0,0,0,0,16,0
Austria,14,4,0,0,14,0,0
Iraq,13,0,0,0,13,0,0
Sweden,13,0,0,0,13,0,0
Macao,10,0,0,0,4,6,0
Greece,7,0,0,0,7,0,0
Israel,7,0,0,0,6,1,0
Lebanon,7,0,0,0,7,0,0
Netherlands,7,0,0,0,7,0,0
Croatia,6,0,0,0,6,0,0
Oman,6,0,0,0,5,1,0
Finland,5,2,0,0,4,1,0
Mexico,4,0,0,0,4,0,0
Pakistan,4,0,0,0,4,0,0
Philippines,3,0,1,0,0,2,0
Azerbaijan,3,0,0,0,3,0,0
Denmark,3,0,0,0,3,0,0
Georgia,3,0,0,0,3,0,0
India,3,0,0,0,0,3,0
Romania,3,0,0,0,2,1,0
Algeria,2,1,0,0,2,0,0
Belgium,2,1,0,0,1,1,0
Brazil,2,0,0,0,2,0,0
Russia,2,0,0,0,0,2,0
Afghanistan,1,0,0,0,1,0,0
Belarus,1,0,0,0,1,0,0
Cambodia,1,0,0,0,0,1,0
Ecuador,1,0,0,0,1,0,1
Egypt,1,0,0,0,0,1,0
Estonia,1,0,0,0,1,0,0
Iceland,1,0,0,0,1,0,0
Ireland,1,0,0,0,1,0,0
Lithuania,1,0,0,0,1,0,0
Luxembourg,1,0,0,0,1,0,0
North Macedonia,1,0,0,0,1,0,0
Monaco,1,0,0,0,1,0,0
Nepal,1,0,0,0,0,1,0
New Zealand,1,0,0,0,1,0,0
Nigeria,1,0,0,0,1,0,0
Qatar,1,0,0,0,1,0,0
San Marino,1,0,0,0,1,0,1
Sri Lanka,1,0,0,0,0,1,0
Armenia,1,1,0,0,1,0,0
