# Directed graph: graphTextOut.txt 
# Save as tab-separated list of edges
# Nodes: 1000 Edges: 4057
# FromNodeId	ToNodeId
1	0
2	1
3	0
3	1
3	2
4	0
4	3
5	2
5	3
6	1
7	4
8	0
9	3
10	0
11	4
11	7
12	0
12	1
12	3
12	4
12	6
12	7
12	8
12	11
13	9
14	4
14	7
15	0
15	1
15	3
15	4
15	7
15	11
15	12
15	14
16	0
16	1
16	6
17	4
18	13
19	0
20	1
21	4
21	7
22	15
23	0
23	1
23	6
24	9
24	13
24	18
25	7
25	12
26	2
26	3
26	9
26	13
26	18
26	24
27	9
27	24
28	5
29	0
29	1
29	3
29	6
29	12
29	16
30	19
31	21
32	25
33	0
33	1
33	6
33	12
33	16
33	23
34	21
35	28
36	31
37	14
38	9
39	2
40	30
41	31
41	36
42	36
43	38
44	42
45	21
46	6
46	16
47	33
48	1
48	4
48	7
48	8
48	11
48	12
48	14
48	15
48	21
48	37
49	1
49	6
49	16
50	0
51	0
51	1
51	3
51	6
51	8
51	12
51	15
51	16
51	22
51	29
51	33
51	37
51	46
51	48
52	38
52	43
53	0
53	19
53	30
53	40
54	36
55	3
55	9
56	41
57	35
58	38
59	2
59	39
60	9
60	24
60	38
60	52
61	27
62	0
63	25
64	0
64	1
64	3
64	4
64	7
64	21
64	23
64	33
64	45
64	51
65	3
65	4
65	7
65	14
65	15
65	22
65	48
65	51
65	64
66	61
67	21
67	31
67	41
68	37
69	27
70	27
71	53
72	0
72	1
72	2
72	6
72	20
72	33
72	47
73	31
74	18
75	0
75	1
75	2
75	3
75	4
75	7
75	11
75	12
75	14
75	15
75	22
75	25
75	29
75	48
75	50
75	51
75	64
75	65
76	53
76	71
77	0
77	11
77	15
78	1
79	35
80	55
81	26
82	62
83	29
84	76
85	0
85	10
85	72
86	3
86	4
86	5
86	7
86	12
86	14
86	21
86	28
86	29
86	33
86	35
86	48
86	51
86	64
86	65
86	75
87	21
87	34
88	38
88	58
89	86
90	79
91	87
92	9
92	38
92	43
92	52
92	60
93	2
93	59
94	44
95	3
96	28
96	35
96	57
96	79
97	22
98	11
99	37
100	66
101	0
101	1
101	20
101	47
101	72
101	85
102	0
102	8
102	11
102	12
103	3
103	9
103	13
103	18
103	24
103	26
103	27
103	74
104	38
105	7
106	25
106	32
107	41
108	96
109	10
109	85
110	19
110	30
110	40
110	53
111	94
112	26
112	27
112	81
112	103
113	68
114	64
115	0
115	1
115	2
115	3
115	9
115	15
115	38
115	43
115	52
115	58
115	60
115	88
115	92
116	94
116	111
117	33
118	80
119	19
119	30
119	53
119	71
119	76
119	110
120	89
121	29
122	4
122	7
122	14
122	37
123	94
123	111
123	116
124	4
124	15
125	0
125	53
125	76
125	84
125	110
125	119
126	98
127	124
128	0
128	7
128	12
128	15
128	22
128	29
128	33
128	48
128	50
128	51
128	64
128	65
128	75
128	86
128	102
129	7
130	0
130	8
131	83
132	38
132	58
132	88
132	92
132	115
133	57
134	105
135	44
135	94
135	123
136	0
136	22
136	33
136	47
136	65
136	86
136	89
136	117
136	128
137	87
137	91
138	94
138	111
138	116
138	123
139	92
140	69
141	12
142	55
143	89
143	117
143	136
144	7
144	21
144	105
144	134
145	49
146	2
147	56
148	139
149	89
149	120
150	27
151	131
152	93
153	107
154	76
155	6
155	49
155	145
156	6
157	37
157	99
158	7
158	12
