GYD,Azerbaijan,NBC,Russia
NBC,Russia,GYD,Azerbaijan
ABJ,Cote d'Ivoire,BOY,Burkina Faso
ABJ,Cote d'Ivoire,OUA,Burkina Faso
ACC,Ghana,OUA,Burkina Faso
BKO,Mali,ABJ,Cote d'Ivoire
BKO,Mali,DKR,Senegal
BKO,Mali,OUA,Burkina Faso
BOY,Burkina Faso,ABJ,Cote d'Ivoire
COO,Benin,LFW,Togo
COO,Benin,OUA,Burkina Faso
DKR,Senegal,BKO,Mali
DKR,Senegal,OUA,Burkina Faso
LFW,Togo,OUA,Burkina Faso
NIM,Niger,OUA,Burkina Faso
OUA,Burkina Faso,ABJ,Cote d'Ivoire
OUA,Burkina Faso,ACC,Ghana
OUA,Burkina Faso,BKO,Mali
OUA,Burkina Faso,COO,Benin
OUA,Burkina Faso,DKR,Senegal
OUA,Burkina Faso,LFW,Togo
OUA,Burkina Faso,NIM,Niger
BOG,Colombia,GYE,Ecuador
BOG,Colombia,UIO,Ecuador
CLO,Colombia,GYE,Ecuador
GYE,Ecuador,BOG,Colombia
GYE,Ecuador,CLO,Colombia
UIO,Ecuador,BOG,Colombia
BDS,Italy,ZRH,Switzerland
BOD,France,ZRH,Switzerland
BRS,United Kingdom,ZRH,Switzerland
GVA,Switzerland,LPA,Spain
LCA,Cyprus,ZRH,Switzerland
LPA,Spain,ZRH,Switzerland
RMF,Egypt,ZRH,Switzerland
TFS,Spain,GVA,Switzerland
ZRH,Switzerland,BDS,Italy
ZRH,Switzerland,BOD,France
ZRH,Switzerland,BRS,United Kingdom
ZRH,Switzerland,LCA,Cyprus
ZRH,Switzerland,LPA,Spain
ZRH,Switzerland,RMF,Egypt
ARN,Sweden,MHQ,Finland
ARN,Sweden,POR,Finland
ARN,Sweden,TRF,Sandefjord
MHQ,Finland,ARN,Sweden
OSL,Norway,VXO,Sweden
POR,Finland,ARN,Sweden
TRF,Sandefjord,ARN,Sweden
VXO,Sweden,OSL,Norway
ADQ,United States,AOS,
ADQ,United States,KKB,
ADQ,United States,KOZ,United States
ADQ,United States,OLH,
DWC,United Arab Emirates,MNL,Philippines
MNL,Philippines,DWC,United Arab Emirates
CGA,United States,KTN,United States
HYL,United States,KTN,United States
KTB,United States,KTN,United States
KTN,United States,CGA,United States
KTN,United States,HYL,United States
KTN,United States,KTB,United States
ACC,Ghana,DKR,Senegal
ACC,Ghana,LOS,Nigeria
ACC,Ghana,ROB,Liberia
BCN,Spain,BJL,Gambia
BJL,Gambia,BCN,Spain
BJL,Gambia,DKR,Senegal
BJL,Gambia,FNA,Sierra Leone
CKY,Guinea,OXB,Guinea-Bissau
DKR,Senegal,ACC,Ghana
DKR,Senegal,BJL,Gambia
DKR,Senegal,DLA,Cameroon
DKR,Senegal,FNA,Sierra Leone
DKR,Senegal,LOS,Nigeria
DKR,Senegal,OXB,Guinea-Bissau
DLA,Cameroon,DKR,Senegal
DLA,Cameroon,LOS,Nigeria
FNA,Sierra Leone,BJL,Gambia
FNA,Sierra Leone,DKR,Senegal
FNA,Sierra Leone,LGW,United Kingdom
FNA,Sierra Leone,ROB,Liberia
LGW,United Kingdom,FNA,Sierra Leone
LOS,Nigeria,ACC,Ghana
LOS,Nigeria,DKR,Senegal
LOS,Nigeria,DLA,Cameroon
LOS,Nigeria,ROB,Liberia
OXB,Guinea-Bissau,CKY,Guinea
OXB,Guinea-Bissau,DKR,Senegal
ROB,Liberia,ACC,Ghana
ROB,Liberia,FNA,Sierra Leone
ROB,Liberia,LOS,Nigeria
JIB,Djibouti,DXB,United Arab Emirates
JIB,Djibouti,JED,Saudi Arabia
JIB,Djibouti,MGQ,Somalia
MGQ,Somalia,NBO,Kenya
NBO,Kenya,MGQ,Somalia
BKK,Thailand,SIN,Singapore
DRW,Australia,SIN,Singapore
HAK,China,SIN,Singapore
HGH,China,SIN,Singapore
HKG,Hong Kong,SIN,Singapore
HKT,Thailand,SIN,Singapore
KIX,Japan,MNL,Philippines
KIX,Japan,TPE,Taiwan
KUL,Malaysia,SIN,Singapore
MNL,Philippines,KIX,Japan
MNL,Philippines,SIN,Singapore
PEN,Malaysia,SIN,Singapore
PER,Australia,SIN,Singapore
PNH,Cambodia,SIN,Singapore
REP,Cambodia,SIN,Singapore
RGN,Burma,SIN,Singapore
